rank,grade,name,handle,channel_id,subscribers,subscribers_num,views,views_num,videos,videos_num,image_url
61st,B,FilmsActu,/youtube/handle/filmsactu,UC_i8X3p8oZNaik8X513Zn1Q,4.87M,4870000,3.52B,3520000000,12.77K,12770,https://yt3.ggpht.com/wEvqrdZpM0jcU9qir4F9ogy5kYEJ36_CL2tVm46Uw_0rNtfjwgDGFpV7BchHTkNlZpnJvH9q=s88-c-k-c0x00ffffff-no-rj
62nd,C-,Soprano Officiel,/youtube/handle/soprano,UCYne4N06sHVhRBXS0Lq5D8g,4.85M,4850000,3.41B,3410000000,374,374,https://yt3.ggpht.com/ZPDYKEI_nkIPgiOltY6VoDx6LPv9wokbBy2WeeMe1Y0rsDl9G5lFpvFuhFgAVLE8zc1jaaVK5w=s88-c-k-c0x00ffffff-no-rj
63rd,C+,CAT SUNBA,/youtube/handle/cat.sunba25,UCFEmsxrCYo3Ad5yQcXc0cyQ,4.76M,4760000,31.94M,31940000,5.19K,5190,https://yt3.ggpht.com/nSiHLa-D6iys00lkx73LRd9LFJNs61XXpMzwcGDOR6FQqZcnHOuP-BrUWHBNH7RS5_HkEgxmEg=s88-c-k-c0x00ffffff-no-rj
64th,B+,Investigation,/youtube/handle/investigation,UC50uCdUubc04xXZz7bqv5ng,4.73M,4730000,1.6B,1600000000,3.32K,3320,https://yt3.ggpht.com/qWcsNvuUR8jPbAsHW_xYvS3IeMDe4MKA05Owzz7YPhdKMSuuaPSPCTGSzVOK4zelqHs3V6smMQ=s88-c-k-c0x00ffffff-no-rj
65th,B+,Simple Creative,/youtube/handle/simple_creative,UCWP1Op_c3B2B9FWOrANILaw,4.66M,4660000,4.49B,4490000000,451,451,https://yt3.ggpht.com/LxhkaTG-6Wbm7Zz0JKsLUdW9fgQQUr9TgsnmYzCrY_mGY8dofvYq9f1f8enpv7_GowT5ChOZ=s88-c-k-c0x00ffffff-no-rj
66th,C+,YoTips,/youtube/handle/yousr,UCIQgeXCqqK8piwOvK7tDg0w,4.65M,4650000,499.65M,499650000,236,236,https://yt3.ggpht.com/8hloyS_jOYrGkvqty79M1_bDbMXkkpq9B9hoY7Io4ksp0ew2clJwNxyJrJ0jITOYnmFGJPOY_xg=s88-c-k-c0x00ffffff-no-rj
67th,B,LeBouseuh,/youtube/handle/lebouseuh,UCUl7mwOyySfZzUkq4H29nug,4.59M,4590000,1.28B,1280000000,1.31K,1310,https://yt3.ggpht.com/-ddkoZcrriwdAFiRPEBCTBqnU6p8w6fP5WdsG-k2MTo2DM0q_CmpZYKeIVgz4MQcaQ37Vn6S-ek=s88-c-k-c0x00ffffff-no-rj
68th,B,ARTE,/youtube/handle/arte,UCwI-JbGNsojunnHbFAc0M4Q,4.56M,4560000,408.66M,408660000,3.01K,3010,https://yt3.ggpht.com/JvG9t1fNgirmoEWieadI9gz5wm0889z8ULzCF959u1FrDykh8LJUO9BjEGUg1k_xDOZWFNb3uQ=s88-c-k-c0x00ffffff-no-rj
69th,C-,LE FOOT EN VIDÉO,/youtube/handle/lefootenvideo,UC960cXgEv6mCZ5iGnWSd0oQ,4.52M,4520000,3.92B,3920000000,178,178,https://yt3.ggpht.com/ytc/AIdro_l2jPjydzuNC0ADCLinP-S1iloLOlYDdBpJY8kBCyevVoc=s88-c-k-c0x00ffffff-no-rj
70th,C-,Marwa Loud,/youtube/handle/marwa_loud,UC2kfDKWZai6IrtmSq60YawQ,4.52M,4520000,1.83B,1830000000,58,58,https://yt3.ggpht.com/ytc/AIdro_kdqH05XbXplKWuV5vFX_YDyio0p28fACFAwp5znltu9hU=s88-c-k-c0x00ffffff-no-rj
71st,B,L'atelier de Roxane,/youtube/handle/latelierderoxane,UC3rxwrZSiTp6Kk2RXcyHtCA,4.51M,4510000,1.84B,1840000000,1.39K,1390,https://yt3.ggpht.com/sNZTcQmHaHv4aiYK2TlIssnd9_eaMwZwWEl0nbqcCagcg1ubO1VqXsCVEonk4jgjsQpy6-EF=s88-c-k-c0x00ffffff-no-rj
72nd,B,Skyprods Officiel,/youtube/handle/skyprodsofficiel,UCUJUF8DsWpkdzygMQeL91mQ,4.49M,4490000,1.3B,1300000000,470,470,https://yt3.ggpht.com/ytc/AIdro_nPqRUKTBl36vWRVR3az8HHK3MRmO8CFp0nD8wZ4tS-wjM=s88-c-k-c0x00ffffff-no-rj
73rd,B+,فرانس 24 / FRANCE 24 Arabic,/youtube/handle/france24_ar,UCdTyuXgmJkG_O8_75eqej-w,4.39M,4390000,1.62B,1620000000,145.8K,145800,https://yt3.ggpht.com/ttCZI4HzbwlKBLe-hgRNy8N3QyymY4FOqb3Todsh0ic8Ms-8SbZ9cN0IQZhTEiINQMQtIXef=s88-c-k-c0x00ffffff-no-rj
74th,B,GOTAGA,/youtube/handle/gotaga,UCCFqUJYKT97UerMmb6DM0bw,4.39M,4390000,1.2B,1200000000,1.95K,1950,https://yt3.ggpht.com/FQXhwoYYE7tmVnX54Lkp6qDgFbgSpCoTou-yRqcaxwbKRTDEwjpwjH3yFB55nK_p9MinEAvPCm8=s88-c-k-c0x00ffffff-no-rj
75th,B,Charlie Chaplin,/youtube/handle/thechaplinfilms,UCe7sQfrqTHc-hWXdenf7VxQ,4.39M,4390000,1.01B,1010000000,763,763,https://yt3.ggpht.com/ytc/AIdro_kg-yhgHoVowoR0p7w67oYFY6DhPW4vTLFbX0uwFIMqGaM=s88-c-k-c0x00ffffff-no-rj
76th,C-,Mok Saib,/youtube/handle/moksaib,UCkg2AcvA9VCqqp3XcsPkZmQ,4.32M,4320000,971.77M,971770000,57,57,https://yt3.ggpht.com/ytc/AIdro_ltwcUw3y4cgQXGFCglM7RJWxOSep1fgcM6_hK9bL8LZBk=s88-c-k-c0x00ffffff-no-rj
77th,C+,Greg Guillotin,/youtube/handle/gregguillotin,UCM1c1okZ-7cPV7BEZ-pzUGg,4.27M,4270000,734.53M,734530000,150,150,https://yt3.ggpht.com/j3xlM3Ok7ggG7VyuFRBuv1nGV-uwOOvTej3XABDPiYWZdHvQ0e8CY-X9rkX1Yt3STWJILx2RIw=s88-c-k-c0x00ffffff-no-rj
78th,B+,La Fouine,/youtube/handle/lafouineofficiel,UCZ8lXecIr6UOwAJNyW1XDDg,4.15M,4150000,1.49B,1490000000,233,233,https://yt3.ggpht.com/PLYd0IL8mfyjTJIjDIPFuB8jM4fLUNTZmvnHsRYnf9OhmDtV7NYLxbvdK6R89MJQp5dKIuF7=s88-c-k-c0x00ffffff-no-rj
79th,B,Christian Dior,/youtube/handle/dior,UC6xD-jKli-_qIYXDTsNv4dw,4.13M,4130000,709.82M,709820000,1.82K,1820,https://yt3.ggpht.com/retS2O4yoIWDjEqYYIP1Q65ssG8f-eJofNmiOGuvVJYKPyvLj8zP_Z6cR7_Y3Q7qi2N9YxJTj7s=s88-c-k-c0x00ffffff-no-rj
